Column1,after_arousal,before_arousal,after_valence,before_valence,weekend,sun,commute,occupants,length,flow,speed,sudden_events,steering,braking,ID
1,2.37779E+12,6.21492E+14,6.93979E+14,7.31332E+14,0,1.48375E+14,0,0,8.10881E+14,5.71545E+14,6.51401E+14,1.7047E+14,-4.9453E+14,1.09836E+14,1
2,-1.09924E+14,7.31132E+14,-1.1389E+14,1.93719E+14,0,1.48375E+14,1,0,3.30605E+14,-2.90603E+14,-4.89793E+14,8.92375E+14,-4.02773E+14,8.74584E+14,1
3,-7.83144E+14,1.82934E+14,7.53104E+14,5.52127E+14,0,8.57703E+14,0,0,-2.63871E+14,-5.43697E+14,-2.79298E+14,-6.37333E+14,1.01182E+14,-5.72988E+14,1
4,-2.57958E+14,-3.32554E+14,4.57479E+14,7.42491E+13,1,-9.08791E+14,0,0,-2.77546E+14,-1.77597E+14,-2.46054E+14,-1.27951E+14,1.92328E+14,-8.74642E+14,1
5,-7.92961E+14,-5.29724E+14,-1.55277E+14,-4.03629E+14,1,1.48375E+14,0,1,-1.71201E+14,-1.09249E+14,-9.0654E+14,3.79479E+14,2.29364E+13,3.0476E+14,1
6,-4.35638E+14,-1.2972E+14,-1.8484E+14,-1.18018E+14,1,1.48375E+14,0,1,-1.54031E+14,6.45485E+14,2.7884E+13,-8.24141E+14,1.13941E+13,-6.59632E+14,1
7,-7.41914E+14,-6.94184E+14,-4.88521E+14,-3.43894E+14,1,-5.6586E+14,0,1,-1.29301E+14,2.27093E+14,-3.52222E+14,-3.83589E+14,8.60681E+14,-8.6647E+14,1
8,-2.31453E+14,-6.94184E+14,-1.33771E+13,-1.18018E+14,1,-6.6555E+14,0,1,2.29398E+14,5.08458E+14,3.23079E+14,6.91863E+14,2.81656E+14,-4.41187E+14,1
9,1.45307E+13,-6.39364E+14,-1.78927E+14,-2.24425E+14,0,7.65989E+14,1,0,5.75302E+14,-6.07691E+14,-3.56974E+14,-9.7379E+14,6.69521E+14,6.47779E+14,1
10,8.40516E+14,7.85952E+14,-2.52021E+13,2.53453E+14,0,8.25802E+14,1,0,1.02751E+14,-8.35881E+14,-7.80562E+14,-3.26536E+14,-6.55451E+14,1.70473E+14,1
11,1.24889E+14,1.27933E+13,2.80104E+14,-4.52205E+12,0,1.48375E+14,0,1,-1.89233E+14,-4.76314E+14,-4.6161E+14,5.22843E+14,1.50214E+14,3.4019E+14,1
12,1.24889E+14,1.27933E+13,-7.46462E+14,1.93719E+14,0,1.47179E+14,0,1,-2.79245E+14,7.22978E+14,9.81048E+14,-7.27693E+14,6.78572E+14,-3.5394E+14,1
13,3.81101E+14,2.92573E+14,-1.55212E+14,7.42491E+13,0,-6.57574E+13,0,1,-2.00827E+14,8.84116E+14,3.08577E+14,-9.81407E+14,4.43674E+14,-7.08268E+14,1
14,-2.82499E+14,1.82934E+14,-4.88521E+14,-3.43894E+14,0,1.48375E+14,1,0,2.21867E+14,-1.67186E+14,-4.35073E+14,-3.52028E+14,-5.30245E+14,7.55131E+14,1
15,-2.01807E+12,-1.51648E+12,-5.47646E+14,-7.02303E+14,0,1.48375E+14,1,0,3.32032E+13,-3.14401E+14,-5.01206E+14,-2.52259E+14,-9.32429E+14,1.20193E+14,1
16,-2.57958E+14,-2.83216E+14,-1.78927E+14,-7.62038E+14,0,-5.10034E+14,1,0,1.52575E+14,-1.09927E+14,-9.19377E+14,-3.767E+14,-2.66803E+14,1.92163E+14,1
17,2.27963E+14,-8.03823E+14,-1.92896E+14,-5.82833E+14,0,-6.89475E+14,1,0,-6.0388E+13,6.78424E+14,2.15368E+14,8.84227E+13,-5.81529E+14,4.06378E+14,1
18,1.2587E+13,3.47393E+14,-1.55212E+14,-2.24425E+14,1,4.98821E+14,0,1,-2.24623E+14,5.30435E+14,-4.39851E+14,-1.05866E+14,2.23144E+14,-1.1127E+14,1
19,8.40516E+14,5.11853E+14,-8.43271E+14,-8.21772E+14,0,4.39008E+14,0,0,9.1735E+14,4.54163E+14,6.40525E+14,-5.62746E+14,-2.29092E+14,-3.93347E+14,1
20,1.76916E+14,-3.10445E+13,-4.29396E+14,-3.43894E+14,0,1.14082E+14,0,0,-5.8553E+14,4.72926E+14,-6.61487E+14,-4.37557E+14,-2.74882E+14,-1.20509E+14,1
21,5.3424E+14,6.76312E+14,-1.6119E+14,6.71597E+14,0,1.48375E+14,1,0,2.00729E+14,-2.40873E+14,-4.59685E+14,-5.02426E+14,-3.69054E+14,1.0236E+14,1
22,6.87378E+14,1.84741E+14,-3.11146E+14,1.45143E+14,0,1.48375E+14,0,0,-2.34499E+14,-1.15003E+14,-6.89974E+14,-8.0275E+14,1.06862E+14,-3.61662E+14,1
23,-2.57958E+14,-2.33878E+14,3.98354E+14,-2.24425E+14,0,-9.08791E+14,0,0,-2.75724E+14,-2.78082E+14,-8.49674E+14,-1.05881E+14,1.85131E+14,-7.30896E+14,1
24,-2.22225E+14,9.50411E+14,-1.90752E+12,-8.81507E+14,0,-9.08791E+14,1,0,-7.15147E+14,8.72484E+14,1.37871E+14,-2.83645E+14,-3.06397E+14,-2.95488E+14,1
25,-5.88776E+14,-1.68094E+14,-7.25021E+14,-2.0762E+14,0,-9.08791E+14,1,0,-2.41692E+14,6.29119E+14,1.29602E+14,-2.80548E+14,-4.94798E+14,2.46537E+14,1
26,-1.66075E+14,4.02213E+14,-4.88521E+14,-7.02303E+14,0,-8.68916E+14,1,0,-1.91947E+14,1.84142E+14,-2.3698E+14,-2.59852E+14,-3.27014E+14,3.02997E+14,1
