source,target
after_arousal,after_valence
after_valence,after_arousal
before_arousal,before_valence
before_arousal,after_arousal
before_arousal,after_valence
before_arousal,braking
before_arousal,steering
before_arousal,sudden_events
before_valence,before_arousal
before_valence,after_arousal
before_valence,after_valence
before_valence,braking
before_valence,steering
before_valence,sudden_events
braking,after_arousal
braking,after_valence
braking,speed
braking,steering
braking,sudden_events
flow,after_arousal
flow,after_valence
flow,speed
flow,braking
flow,steering
flow,sudden_events
length,after_arousal
length,after_valence
length,speed
length,braking
length,steering
length,sudden_events
occupants,after_arousal
occupants,after_valence
occupants,length
occupants,speed
occupants,braking
occupants,steering
occupants,sudden_events
speed,after_arousal
speed,after_valence
speed,braking
speed,steering
speed,sudden_events
steering,after_arousal
steering,after_valence
steering,speed
steering,braking
steering,sudden_events
sudden_events,after_arousal
sudden_events,after_valence
sudden_events,speed
sudden_events,braking
sudden_events,steering
sun,before_arousal
sun,before_valence
sun,after_arousal
sun,after_valence
sun,length
sun,braking
sun,flow
sun,speed
sun,commute
sun,occupants
sun,steering
sun,sudden_events
commute,before_arousal
commute,before_valence
commute,after_arousal
commute,after_valence
commute,length
commute,flow
commute,speed
commute,sudden_events
commute,occupants
commute,braking
commute,steering
weekend,before_arousal
weekend,before_valence
weekend,after_arousal
weekend,after_valence
weekend,length
weekend,flow
weekend,speed
weekend,commute
weekend,occupants
weekend,braking
weekend,steering
weekend,sudden_events
